report_no,incident_time,complaint_type,cctv_flag,area_code,victim_code,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,case_status_code,case_status_desc,crime_code,crime_type,weapon_code,weapon_desc,week_number
200104138,17:40:00,In-Person,FALSE,990,19736,1386803,Thaddeus,M,33,Yes,6,No,3260,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200104139,22:10:00,In-Person,FALSE,990,83712,1229723,Harley,M,39,Yes,3,No,3259,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",1
200104140,21:45:00,In-Person,FALSE,371,57381,531960,Elaina,M,37,Yes,3,No,3245,AA,"Adult Arrest",626,"INTIMATE PARTNER - SIMPLE ASSA",109,"SEMI-AUTOMATIC PISTOL",1
200104141,21:20:00,In-Person,FALSE,261,21135,2125016,Malia,M,41,Yes,3,No,4011,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104150,22:00:00,In-Person,FALSE,425,52081,457915,Bridgette,M,40,Yes,4,No,2036,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104187,18:45:00,Email,FALSE,261,30525,38650,Tamika,M,36,Yes,1,No,1023,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200104192,09:30:00,Phone,FALSE,323,109751,1961452,Sidney,M,31,Yes,6,No,1023,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200104201,01:30:00,In-Person,FALSE,371,15322,1846190,Matt,M,35,Yes,1,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104204,11:15:00,Email,FALSE,425,38258,2219033,Ericka,M,33,Yes,3,No,3223,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104205,13:15:00,Phone,FALSE,425,116254,640353,Kali,M,37,Yes,3,No,2036,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104208,10:15:00,Phone,FALSE,336,40696,1387114,Courtney,M,30,Yes,4,No,1029,AO,"Adult Other",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200104209,18:30:00,Phone,FALSE,371,16339,119201,Milo,M,31,Yes,1,No,3245,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104221,12:00:00,Phone,FALSE,336,12493,1779438,Winnie,M,30,Yes,5,No,1029,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104222,15:50:00,In-Person,FALSE,323,44912,759666,Rodrigo,M,30,Yes,7,No,1023,AA,"Adult Arrest",910,KIDNAPPING,308,STICK,1
200104223,18:39:00,Phone,FALSE,990,46854,171480,Deana,M,34,Yes,3,No,3260,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104224,18:00:00,In-Person,FALSE,371,118474,1890109,Lamont,M,37,Yes,3,No,3245,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200104227,18:00:00,In-Person,FALSE,425,76231,2289934,Payton,M,39,Yes,5,No,2036,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200104228,18:50:00,Phone,FALSE,371,64689,964739,Rolando,M,35,Yes,4,No,3245,IC,"Invest Cont",210,ROBBERY,515,"PHYSICAL PRESENCE",1
200104230,21:00:00,Email,FALSE,1001,1016,821349,Emiliano,M,39,Yes,7,No,5555,IC,"Invest Cont",420,"THEFT FROM MOTOR VEHICLE - PET",506,FIRE,1
200104231,22:20:00,In-Person,FALSE,990,76733,164108,Skyler,M,35,Yes,3,No,3260,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200104233,16:45:00,Email,FALSE,336,1349,1930890,Cruz,M,30,Yes,3,No,3245,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,1
200104234,21:00:00,Email,FALSE,322,51642,1612648,Julissa,M,40,Yes,3,No,3258,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104235,22:00:00,Email,FALSE,371,108234,1537026,India,M,32,Yes,3,No,3245,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104236,16:30:00,In-Person,FALSE,425,27087,354676,Isiah,M,35,Yes,7,No,3261,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104237,05:00:00,In-Person,FALSE,336,48529,2242679,Anton,M,41,Yes,3,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104238,18:40:00,Phone,FALSE,336,102996,2174152,Brantley,M,41,Yes,3,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104240,11:00:00,Phone,FALSE,371,81850,1478058,Harlan,M,32,Yes,4,No,3245,IC,"Invest Cont",331,"THEFT FROM MOTOR VEHICLE - GRA",312,"PIPE/METAL PIPE",1
200104244,00:40:00,Email,FALSE,425,5879,1928662,James,M,30,Yes,7,No,2036,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104256,16:00:00,Email,FALSE,425,15449,122804,Alanna,M,36,Yes,5,No,3261,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104268,12:30:00,Phone,FALSE,336,114646,684073,Carmela,M,34,Yes,3,No,1029,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104269,05:00:00,Phone,FALSE,336,33977,920146,Nola,M,30,Yes,3,No,3245,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104270,16:30:00,Email,FALSE,371,15599,2357909,Imani,M,39,Yes,3,No,3245,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104275,12:38:00,Email,FALSE,336,29061,62592,Ashlynn,M,41,Yes,3,No,3245,IC,"Invest Cont",910,KIDNAPPING,308,STICK,1
200104276,21:30:00,Phone,FALSE,425,101499,1588810,Norah,M,35,Yes,3,No,3261,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104277,21:30:00,In-Person,FALSE,371,10131,153250,Keisha,M,40,Yes,4,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104279,15:58:00,Email,FALSE,323,67014,1370393,Camilla,M,31,Yes,3,No,4011,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200104281,13:00:00,Email,FALSE,425,75345,1302727,Kody,M,34,Yes,3,No,3261,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104283,17:55:00,In-Person,FALSE,261,119663,1147191,Dominique,M,35,Yes,3,No,1023,IC,"Invest Cont",442,"SHOPLIFTING - PETTY THEFT ($95",400,"STRONG-ARM (HANDS, FIST, FEET ",1
200104284,00:15:00,In-Person,FALSE,990,32711,1068507,Emilee,M,39,Yes,3,No,3262,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",1
200104285,02:00:00,In-Person,FALSE,336,28068,2159324,Paola,M,36,Yes,7,No,3245,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104286,17:00:00,In-Person,FALSE,371,98140,1843650,Maritza,M,40,Yes,3,No,3246,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104287,23:45:00,Phone,FALSE,336,80499,1240041,Aisha,M,39,Yes,3,No,3246,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104289,23:15:00,Phone,FALSE,336,41339,12924,Darcy,M,32,Yes,3,No,3246,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104291,19:00:00,Email,FALSE,425,94085,203501,Chris,M,32,Yes,3,No,2036,IC,"Invest Cont",210,ROBBERY,515,"PHYSICAL PRESENCE",1
200104292,12:30:00,Email,FALSE,322,23244,964840,Jimmie,M,37,Yes,3,No,1023,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104293,22:00:00,Phone,FALSE,887,1871,2298217,Brianne,M,36,Yes,3,No,4002,IC,"Invest Cont",420,"THEFT FROM MOTOR VEHICLE - PET",506,FIRE,1
200104300,19:15:00,Phone,FALSE,336,69672,440792,Bettye,M,40,Yes,3,No,7010,IC,"Invest Cont",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",1
200104302,01:00:00,In-Person,FALSE,336,109630,215897,Jeri,M,33,Yes,7,No,2038,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104303,16:30:00,In-Person,FALSE,371,33683,910272,Jan,M,39,Yes,3,No,1029,IC,"Invest Cont",510,"VEHICLE - STOLEN",207,"OTHER KNIFE",1
200104310,10:10:00,In-Person,FALSE,425,106815,857021,Amie,M,37,Yes,3,No,2036,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104313,14:30:00,Phone,FALSE,261,26880,1980450,Michael,M,37,Yes,5,No,1023,IC,"Invest Cont",341,"THEFT-GRAND ($950.01 & OVER)EX",208,RAZOR,1
200104316,07:47:00,Phone,FALSE,425,54970,123093,Cyrus,M,41,Yes,3,No,3261,IC,"Invest Cont",930,"CRIMINAL THREATS - NO WEAPON D",212,BOTTLE,1
200104319,23:45:00,Phone,FALSE,425,62016,1628346,Emery,M,37,Yes,3,No,2036,IC,"Invest Cont",623,"BATTERY POLICE (SIMPLE)",215,MACHETE,1
200104320,21:45:00,Phone,FALSE,322,69578,833474,Dale,M,30,Yes,4,No,4011,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104321,18:40:00,In-Person,FALSE,336,52558,1243373,Jami,M,40,Yes,3,No,1029,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104323,01:00:00,Phone,FALSE,425,38434,1128911,Duncan,M,39,Yes,1,No,3261,IC,"Invest Cont",420,"THEFT FROM MOTOR VEHICLE - PET",506,FIRE,1
200104325,00:30:00,Phone,FALSE,323,70452,2377212,Finn,M,35,Yes,3,No,1023,AA,"Adult Arrest",626,"INTIMATE PARTNER - SIMPLE ASSA",109,"SEMI-AUTOMATIC PISTOL",1
200104326,19:45:00,Phone,FALSE,425,82110,1399867,Latonya,M,30,Yes,3,No,3261,AA,"Adult Arrest",740,"VANDALISM - FELONY ($400 & OVE",200,"KNIFE WITH BLADE 6INCHES OR LE",1
200104327,21:30:00,In-Person,FALSE,425,65623,1068668,Stacy,M,37,Yes,6,No,3261,AA,"Adult Arrest",210,ROBBERY,515,"PHYSICAL PRESENCE",1
200104328,21:20:00,Phone,FALSE,336,24936,1482675,Tonia,M,35,Yes,7,No,3246,IC,"Invest Cont",350,"THEFT, PERSON",221,GLASS,1
200104329,17:17:00,Phone,FALSE,425,66172,604141,Buddy,M,40,Yes,5,No,3261,IC,"Invest Cont",421,"THEFT FROM MOTOR VEHICLE - ATT",214,"ICE PICK",1
200104330,05:19:00,Phone,FALSE,323,29502,1641429,Doug,M,34,Yes,3,No,1023,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",1
200104331,23:30:00,In-Person,FALSE,425,1430,1844947,Monte,M,37,Yes,3,No,2036,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
200104333,01:45:00,Phone,FALSE,425,13012,1155465,Loyd,M,40,Yes,3,No,3261,IC,"Invest Cont",888,TRESPASSING,501,"BOMB THREAT",1
200104336,20:30:00,In-Person,FALSE,371,76168,1545915,Presley,M,40,Yes,3,No,3246,IC,"Invest Cont",647,"THROWING OBJECT AT MOVING VEHI",106,"UNKNOWN FIREARM",1
200104337,02:40:00,In-Person,FALSE,425,50989,164572,Ila,M,34,Yes,3,No,3261,IC,"Invest Cont",440,"THEFT PLAIN - PETTY ($950 & UN",102,"HAND GUN",1
200104339,20:45:00,In-Person,FALSE,1001,110859,2055556,Bailey,M,34,Yes,7,No,3263,IC,"Invest Cont",745,"VANDALISM - MISDEAMEANOR ($399",306,"ROCK/THROWN OBJECT",1
200104340,20:30:00,Phone,FALSE,261,96084,1440655,Issac,M,40,Yes,3,No,1023,IC,"Invest Cont",310,BURGLARY,113,"SIMULATED GUN",1
200104351,01:00:00,In-Person,FALSE,425,95408,1709025,Burton,M,31,Yes,3,No,3261,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104352,20:00:00,Phone,FALSE,425,4862,966010,Nikolas,M,35,Yes,4,No,3261,IC,"Invest Cont",420,"THEFT FROM MOTOR VEHICLE - PET",506,FIRE,1
200104360,07:55:00,Phone,FALSE,336,107541,2055454,Robbie,M,31,Yes,2,No,3246,AA,"Adult Arrest",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200104369,09:30:00,Phone,FALSE,336,36688,426971,Jefferson,M,37,Yes,7,No,7010,IC,"Invest Cont",230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,1
200104372,06:00:00,Phone,FALSE,425,16878,1265947,Rae,M,33,Yes,3,No,3261,IC,"Invest Cont",330,"BURGLARY FROM VEHICLE",302,"BLUNT INSTRUMENT",1
200104377,20:00:00,In-Person,FALSE,261,95105,400883,Teagan,M,34,Yes,3,No,4011,IC,"Invest Cont",624,"BATTERY - SIMPLE ASSAULT",500,"UNKNOWN WEAPON/OTHER WEAPON",1
